,market,pair,trade_price,trade_volume
217,Binance,POWR/BTC,$9118.53,"$3,484,180"
218,Huobi,VEN/BTC,$9047.89,"$3,475,980"
219,ACX,BTC/AUD,$9118.19," $3,474,590"
220,Huobi,XRP/BTC,$9069.61,"$3,461,140"
221,YoBit,DASH/BTC,$9022.68,"$3,460,600"
222,Tidex,ETH/BTC,$9035.76,"$3,458,630"
223,WEX,LTC/BTC,$9078.34,"$3,451,830"
224,CoinEgg,LSK/BTC,$9118.15,"$3,432,310"
225,Upbit,BTC/USDT,$9053.43,"$3,410,040"
226,Binance,BTG/BTC,$9204.69,"$3,385,360"
227,BX Thailand,BTC/THB,$9167.51,"$3,384,270"
228,xBTCe,BTC/USD,$9051.00,"$3,357,290"
229,Huobi,NAS/BTC,$8996.63,"$3,346,710"
230,Bit-Z,LSK/BTC,$9063.85,"$3,302,010"
231,Huobi,IOST/BTC,$9074.13,"$3,273,210"
232,Coinfloor,BTC/GBP,$9066.13,"$3,248,860"
233,Lbank,NEO/BTC,$9056.50,"$3,221,470"
234,Binance,RCN/BTC,$9070.55,"$3,217,880"
235,CoinEgg,XRP/BTC,$9064.85,"$3,179,490"
236,Upbit,ETH/BTC,$9042.38,"$3,163,280"
237,Huobi,MTN/BTC,$9172.20,"$3,157,390"
238,OKEx,IOTA/BTC, $9194.45,"$3,146,700"
239,Binance,ZRX/BTC,$9069.23,"$3,141,160"
240,Exrates,BTG/BTC,$8637.25,"$3,120,480"
241,Liqui,TRX/BTC,$9077.21,"$3,112,190"
242,Binance,APPC/BTC,$9062.91,"$3,101,300"
243,OEX,ETH/BTC,$9916.89,"$3,034,890 "
244,Bitso,BTC/MXN,$9030.56,"$3,027,980"
245,OKEx,TRUE/BTC,$8989.20,"$3,019,000"
246,Bit-Z,HSR/BTC,$9008.78,"$3,006,100"
247,Huobi,RDN/BTC,$9075.24,"$2,992,900"
248,Qryptos,DRG/BTC,$9062.86,"$2,990,940"
249,Bittrex,SC/BTC,$9086.60,"$2,934,350"
250,Binance,INS/BTC, $9028.23,"$2,910,750"
251,Huobi,QTUM/BTC,$9174.10,"$2,907,880"
252,WEX,BTC/RUR,$9088.58,"$2,900,720"
253,Huobi,STORJ/BTC,$9097.19,"$2,888,920"
254,GDAX,BTC/GBP,$9114.72,"$2,881,420"
255,Binance,ZIL/BTC,$9074.71,"$2,840,660"
256,Bitstamp,ETH/BTC,$9057.07,"$2,803,160"
257,Binance,RPX/BTC,$8980.13,"$2,793,590"
258,Binance,POE/BTC,$9361.60,"$2,772,960"
259,Kraken,XLM/BTC,$9111.72,"$2,767,670"
260,Upbit,XRP/BTC,$9082.74,"$2,762,780"
261,Huobi,HSR/BTC,$9030.55,"$2,738,180"
262,CoinEgg,RUFF/BTC, $9452.43,"$2,696,920"
263,WEX,DSH/BTC,$9072.57,"$2,679,200"
264,BtcTrade.im,ETH/BTC,$9221.66,"$2,632,760"
265,Huobi,MDS/BTC,$9068.34,"$2,618,680"
266,WEX,BTC/EUR,$9122.38,"$2,600,600"
267,Binance,YOYO/BTC,$9098.61,"$2,596,940"
268,OKEx,BCD/BTC,$27187.30,"$2,572,150"
269,Huobi,MTL/BTC,$9080.34,"$2,571,620"
270,Huobi,THETA/BTC,$9058.89,"$2,552,460"
271,C2CX,BTC/USDT,$9057.43,"$2,544,720"
272,Poloniex,LTC/BTC,$9059.33,"$2,509,780"
273,Bit-Z,OC/BTC,$9275.90,"$2,479,810"
274,Bittrex,XVG/BTC, $9039.54,"$2,473,680"
275,HitBTC,BCN/BTC,$9114.81,"$2,468,500"
276,Bittrex,STRAT/BTC,$9119.51,"$2,462,710"
