,market,pair,trade_price,trade_volume
348,Kraken,ETC/ETH,$573.59,"$320,672"
349,Kucoin,DRGN/ETH,$581.29,"$318,279"
350,OKEx,LRC/ETH,$571.00,"$316,052"
351,Gate.io,ETH/BTC,$574.32,"$315,866"
352,Binance,DNT/ETH,$575.67,"$311,782"
353,Qryptos,ENJ/ETH,$578.67,"$309,816"
354,Zaif,ETH/BTC,$574.87,"$308,975"
355,Binance,BCD/ETH,$189.61,"$305,496"
356,BitBay,ETH/PLN,$568.38,"$305,115"
357,IDAX,OMG/ETH,$589.22,"$304,962"
358,OKEx,PRA/ETH,$566.37,"$302,961"
359,Upbit,NEO/ETH,$574.02,"$302,843"
360,CoinEx,ETH/BTC,$573.46,"$302,286"
361,Binance,ADX/ETH,$573.37,"$301,037"
362,Gate.io,OCN/ETH,$571.59,"$300,475"
363,Binance,RLC/ETH,$573.13,"$299,282"
364,YoBit,ETH/USD,$590.99,"$299,259"
365,Upbit,XEM/ETH,$581.64,"$297,922"
366,Unocoin,ETH/INR,$592.16,"$292,328"
367,Bittrex,MANA/ETH,$568.18,"$292,256"
368,OKEx,BTM/ETH,$572.95,"$292,200"
369,Binance,ICN/ETH,$571.36,"$290,191"
370,Binance,MTL/ETH,$573.92,"$289,883"
371,EXX,SEXC/ETH,$572.32,"$289,819"
372,Lbank,PUT/ETH,$484.65,"$287,823"
373,Bibox,JNT/ETH,$575.49,"$287,117"
374,Binance,POWR/ETH,$577.64,"$283,108"
375,OKEx,AAC/ETH,$566.31,"$280,746"
376,IDEX,CS/ETH,$581.05,"$277,319"
377,OasisDEX,ETH/DAI,$559.82,"$277,010"
378,Qryptos,RKT/ETH,$575.42,"$273,041"
379,The Rock Trading,ETH/EUR,$569.26,"$272,418"
380,Binance,SNT/ETH,$585.68,"$272,295"
381,Kucoin,AGI/ETH,$571.43,"$270,912"
382,TOPBTC,SNT/ETH,$564.61,"$270,812"
383,Binance,WAVES/ETH,$573.04,"$263,563"
384,Kucoin,NEO/ETH,$576.72,"$262,933"
385,Binance,BRD/ETH,$582.77,"$258,137"
386,Lbank,BTS/ETH,$567.23,"$255,042"
387,Binance,VIA/ETH,$572.29,"$254,373"
388,Qryptos,QASH/ETH,$576.26,"$252,971"
389,Binance,RCN/ETH,$572.98,"$250,895"
390,OKEx,STC/ETH,$577.61,"$249,007"
391,OKEx,ELF/ETH,$575.32,"$248,277"
392,Bibox,TNB/ETH,$545.07,"$246,913"
393,OKEx,NAS/ETH,$569.61,"$246,145"
394,Qryptos,STU/ETH,$571.30,"$245,539"
395,Bit-Z,REBL/ETH,$583.10,"$243,856"
396,HitBTC,EOS/ETH,$573.62,"$243,438"
397,IDEX,HAV/ETH,$648.73,"$241,379"
398,GOPAX,ETH/KRW,$596.67,"$3,759,400"
399,Cobinhood,LYM/ETH,$582.73,"$615,818"
